Id._Empresa,Razón_Social,CIF,Domicilio,Id_Municipio_INE,Municipio,Población,Provincia,País,Código_Postal,Teléfono,Teléfono,Fax,Web,Email,CNAE,Descripción_actividad,Área_principal,Actividad_1,Actividad_2,Actividad_3,Actividad_4,Actividad_5,Actividad_6,Facturación_2019,Inversión_2019,Inversión_2020,Nº_empleados,Capital
204478,"JOSÉ DÍAZ GARCÍA, S.A.",A30139190,"Ctra. Cartagena-Alicante, km. 30",0354,San Javier,,Murcia,España,30730,968191056,,968190507,www.josediazgarcia.com,central@josediazgarcia.com,3600,Construcción y reformas inmobiliarias.,Proyectos inmobiliarios,Constructoras,,,,,,29.37,0.03,,84,0.526
205217,SEPES ENTIDAD PÚBLICA EMPRESARIAL DE SUELO - GRUPO,G28739993,"Pso. de la Castellana, 91",0796,Madrid,,Madrid,España,28046,915565015,,915566989,www.sepes.es,gprensa@sepes.es,,"Promoción pública de suelo industrial, residencial y terciario.",Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,34.71,,,154,267.277
206573,INSTITUCIÓN FERIAL DE MADRID (IFEMA),Q2873018B,"Avda. del Partenón, 5",0796,Madrid,,Madrid,España,28042,902221515,,917225799,www.ifema.es,lineaifema@ifema.es,,"Organización de ferias, eventos y exposiciones.",Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,187.2,,,427,
207343,"AIRTIFICIAL INTELLIGENCE STRUCTURES, S.A.",A28249977,"General Díaz Porlier, 49",0796,Madrid,,Madrid,España,28001,911211700,,914021609,www.inypsa.es,inypsa@inypsa.es,7112,Ingeniería y consultoría.,Proyectos inmobiliarios,Ingeniería / construcción,Project management,,,,,7.54,0.3,,26,131.898
207355,"INTECSA-INARSA, S.A.",A28139111,"Julián Camarillo, 53",0796,Madrid,,Madrid,España,28037,915673800,,915673801,www.intecsa-inarsa.es,general@intecsa-inarsa.es,7112,Ingeniería civil y arquitectura.,Proyectos inmobiliarios,Ingeniería / construcción,Project management,,,,,8.23,0.09,,113,3.636
210251,"KAEFER SERVICIOS INDUSTRIALES, S.A.U.",A48055560,"Ribera de Erandio, 6",9026,Erandio,,Bizkaia,España,48950,946710790,,946711007,www.kaefer.es,kaefer@kaefer.es,4399,"Servicios de aislamiento y andamio, entre otros.",Proyectos inmobiliarios,Instalación aislantes / impermeabilizantes,,,,,,72.89,2.94,,1010,1.438
211116,"JULIO CRESPO, S.A. - GRUPO",A47030168,"Avda. de Madrid, 16 - P.I. Albresa",0796,Madrid,Valdemoro,Madrid,España,28342,918951045,,917020085,www.juliocrespo.com,central@juliocrespo.com,4399,Ingeniería de protección anticorrosiva y aislamiento industrial.,Proyectos inmobiliarios,Instalación aislantes / impermeabilizantes,,,,,,28.13,0.38,,228,5.523
212100,"EPTISA ENGINYERIA I SERVEIS, S.A.",A08527459,"P.I. Polizur- Montclar, 25",2665,Cerdanyola del Vallès,,Barcelona,España,08290,933624590,,,www.eptisa.es,catalunya@eptisa.com,7112,Ingeniería civil.,Proyectos inmobiliarios,Ingeniería / construcción,,,,,,3.21,0.05,,56,0.12
212116,"TÉCNICA Y PROYECTOS, S.A. (TYPSA)",A28171288,"Gomera, 9",1343,San Sebastián de los Reyes,,Madrid,España,28703,917227300,,916517588,www.typsa.es,exterior@typsa.es,7112,"Ingeniería, arquitectura y consultoría.",Proyectos inmobiliarios,Ingeniería / construcción,,,,,,140.49,2.18,,1544,2.4
218733,ABENGOA - GRUPO,A41002288,"Energía Solar, 1",0917,Sevilla,,Sevilla,España,41014,954937000,,954937002,www.abengoa.com,,7112,"Ingeniería y construcción en los sectores de infraestructuras, energía y agua.",Proyectos inmobiliarios,Instalación electricidad / telefonía,,,,,,1493.2,,,14399,35.866
222015,"AGEFRED, S.L.",B08357329,"Escultor Canet, 35-37",0193,Barcelona,,Barcelona,España,08028,932609400,,932609444,www.agefred.es,agefred@agefred.es,4322,"Instalaciones de aire acondicionado, refrigeración industrial y electricidad.",Proyectos inmobiliarios,Instalación electricidad / telefonía,,,,,,36.83,,,124,2
225353,"EKON CLOUD COMPUTING SOLUTIONS, S.A.U.",A08147811,"Poeta Joan Maragall, 23, 1ª planta",0796,Madrid,,Madrid,España,28020,902227000,,9022227001,www.ekon.es,marketing@ekon.es,6209,Consultora en tecnologías de la información.,Proyectos inmobiliarios,Software para construcción,Informática para distribución,Software para electro,Informática para hostelería,,,19.73,0.12,,176,10.385
225544,INSTITUTO FEIRAL DE VIGO (IFEVI),G36845832,"Avda. do Aeroporto, 772 – Cotogrande",0577,Vigo,,Pontevedra,España,36318,986486144,,986486071,www.ifevi.es,info@ifevi.com,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,,,,,
227433,FERIA MUESTRARIO INTERNACIONAL DE VALENCIA,Q4673004J,"Avda. de las Ferias, s/n ",2508,València,,Valencia/València,España,46035,963861200,,963861277,www.feriavalencia.com,feriavalencia@feriavalencia.com,,"Organización de ferias, eventos y exposiciones.",Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,21.6,,,128,
227658,"COBRA INSTALACIONES Y SERVICIOS, S.A.",A46146387,"Cardenal Marcelo Spinola, 10",0796,Madrid,,Madrid,España,28016,914569500,,914569476,www.grupocobra.com,moncobra@central.grupocobra.com,4321,"Instalaciones y montajes eléctricos, mecánicos y servicios auxiliares.",Proyectos inmobiliarios,Instalación electricidad / telefonía,,,,,,1583.54,4.49,,4049,24.04
227817,AGBAR - DIVISIÓN DE INFRAESTRUCTURAS Y MEDIO AMBIENTE,A08000234,"Santa Leonor, 39",0796,Madrid,,Madrid,España,28037,933422000,,933422680,www.agbar.es,comunicacion@agbar.es,3600,"Suministro de agua, ejecución de instalaciones de tratamiento y depuración de agua y gestión de RSU.",Proyectos inmobiliarios,Instalaciones tratamiento de agua,,,,,,123,,,931,
228578,"EPTISA SERVICIOS DE INGENIERÍA, S.L. - GRUPO",B85097962,"Emilio Muñoz, 35",0796,Madrid,,Madrid,España,28037,915949500,,914465546,http://www.eptisa.com/es,eptisa@eptisa.com,7112,Ingeniería de proyectos y obras.,Proyectos inmobiliarios,Ingeniería / construcción,Project management,,,,,145,,,1800,
228589,FERIA DE ZARAGOZA,Q5073002G,"Autovía A-2, Km. 311",2973,Zaragoza,,Zaragoza,España,50012,976764700,,976330649,www.feriazaragoza.com,,,"Organización de ferias, eventos y exposiciones.",Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,11,,,,
229735,"SOCIEDAD AZUCARERA LARIOS, S.L. (SALSA INMOBILIARIA)",B29000288,"Martínez, 11  - Planta 4",0672,Málaga,,Málaga,España,29005,952121205,,952120079,www.salsa.es,salsa@salsa.es,7022,Promoción y alquiler inmobiliario.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,9.45,0.03,,22,27
231343,FIRA DE BARCELONA,Q0873006A,"Avda. Reina María Cristina, s/n",0193,Barcelona,,Barcelona,España,08004,932332000,,932332299,www.firabarcelona.com,info@firabarcelona.com,,"Organización de ferias, eventos y exposiciones.",Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,215,,,390,
231532,INSTITUCIÓN FERIAL VILLA DE TORRE-PACHECO (IFEPA),G30111702,"Avda. Gerardo Molina, 117",0373,Torre-Pacheco,,Murcia,España,30700,968336383,,968578318,www.ifepa.es,ifepa@ifepa.es,,Organización de ferias y eventos.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,,,,,
233663,"GRUPO EZENTIS, S.A.",A28085207,"Avda. Hytasa, 12 2º - Edificio Puerta De Indias - Planta 4",0917,Sevilla,,Sevilla,España,41015,902406082,,917546724,https://www.ezentis.com/,comunicacion.ezentis@ezentis.com,6420,Ejecución de insfraestructuras para telecomunicaciones y energía.,Proyectos inmobiliarios,Instalación electricidad / telefonía,,,,,,448.74,68.49,,12800,99.352
234136,"ACIEROID, S.A.",A28182392,"Avda. de la Gran Vía, 179",1017,Hospitalet de Llobregat (L'),,Barcelona,España,08908,932616300,,932616320,www.acieroid.com,informacion@acieroid.es,4122,Construcción de fachadas y cubiertas metálicas para edificios terciarios e industriales.,Proyectos inmobiliarios,Construcción estructuras metálicas,Constructoras,,,,,22.75,0.02,,93,0.504
235592,INSTITUCIÓN FERIAL DE EXTREMADURA (FEVAL),G06038897,"Avda. Torres Isunza, s/n",0444,Don Benito,,Badajoz,España,06400,924829100,,924810750,www.feval.com,comercial@feval.com,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,1.4,,,,
236533,"LUIS MARTÍNEZ BENITO, S.A. (LMB)",A26023606,"Plaza Maestro Arroyo, 2 Bajo",0368,Calahorra,,"Rioja, La",España,26500,941145012,,941132800,www.grupolmb.com,martarodriguez@grupolmb.com,4121,Promoción y construcción de inmuebles.,Proyectos inmobiliarios,Promotoras inmobiliarias,Constructoras,,,,,39.14,,,43,1.6
248321,"PROSEGUR ALARMAS ESPAÑA, S.L.U.",B87222006,"Pajaritos, 24  - Planta 2",0796,Madrid,,Madrid,España,28007,915898100,,915898476,www.prosegur.es,alarmas@prosegur.com,8010,"Instalación y mantenimiento de alarmas, protección contra incendios y soluciones tecnológicas de seguridad.",Proyectos inmobiliarios,Instalación electricidad / telefonía,,,,,,117.52,5.61,,848,0.003
252458,"REUS DESENVOLUPAMENT ECONÒMIC, S.A.  (FIRA DE REUS)",G43051887,"Avda. Bellisens, 40",1233,Reus,,Tarragona,España,43202,977326363,,977316359,www.firareus.com,fira@reus.com,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,3.87,,,41,
252583,FUNDACIÓN SEMANA VERDE DE GALICIA (FEIRA INTERNACIONAL DE GALICIA),G36155208,Recinto Ferial s/n,0524,Silleda,,Pontevedra,España,36540,986577000,,986580162,http://www.feiragalicia.com,info@feiragalicia.com,,"Organización de ferias, eventos y exposiciones.",Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,,,,,
252940,INSTITUCIÓN FERIAL DE CANARIAS (INFECAR),G35033042,"Avda. De la Feria, 1",0167,Palmas de Gran Canaria (Las),,"Palmas, Las",España,35012,928010203,,928411710,www.infecar.es,info@infecar.es,,"Organización de ferias, eventos y exposiciones.",Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,3.6,,,,
255497,FIRA DE MOLLERUSA,G25071895,"Avda. CANAL,S/N. 2 PLANTA-APTDO.72",1370,Mollerussa,,Lleida,España,25230,973600799,,973600566,www.fira.com,info@fira.com,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,0.83,,,7,
260513,"EUROFINSA, S.A.",A28487007,"Pso. de la Castellana, 91 -  plta. 2",0796,Madrid,,Madrid,España,28046,915156000,,915647286,www.eurofinsa.com,eurofinsa@eurofinsa.com,4399,Obras públicas e implementación de proyectos de construcción y equipamiento para instituciones públicas.,Proyectos inmobiliarios,Construcción obra civil,,,,,,106,,,630,5
262932,"BAMMP ARQUITECTES I ASSOCIATS, S.L.",B62572979,"VALL, 59",2798,Terrassa,,Barcelona,España,08221,937332973,,,www.bammp.com,secretaria@bammp.com,7111,Arquitectura,Proyectos inmobiliarios,Arquitectura,,,,,,0.8,,,,0.004
264729,"GABRIEL ROJAS, S.L.",B41008970,"Virgen de Luján, 8",0917,Sevilla,,Sevilla,España,41011,954451344,,954282906,www.gabrielrojas.com,info@gabrielrojas.com,6810,Construcción y promoción inmobiliaria.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,2.42,,,9,1.137
264933,"HUMICLIMA EST, S.A.",A07050586,"P.I. Son Castello- GRAN VIA ASIMA, 29 - P.I. Son Castello",0407,Palma,,"Balears, Illes",España,07009,971431216,,971754751,www.humiclima.com,humiclima@humiclima.com,4322,Instalaciones de climatización.,Proyectos inmobiliarios,Instalación climatización / fontanería,,,,,,22.73,0.02,,135,0.253
269821,GRUPO IBERMÁTICA - GRUPO,A20038915,"Pso. Mikeletegui, 5",0697,Donostia/San Sebastián,,Gipuzkoa,España,20009,902413500,,943308244,www.ibermatica.com,prensa@ibermatica.com,6209,Consultoría y servicios informáticos.,Proyectos inmobiliarios,Software para construcción,Informática (hardware doméstico),Informática para distribución,,,,238.19,4.37,4.5,3104,18.171
272301,"SARKIS, S.A. (GRUPO SARKIS-LAGUNKETA SLK)",A01040799,"Portal de Gamarra, 1 -Edifico Deba-",0590,Vitoria-Gasteiz,,Araba/Álava,España,01013,945128887,,945121044,www.sarkislagunketa.com,sarkis@sea.es,4110,"Construcción, promoción, gestión de inmuebles y consultoría. ",Proyectos inmobiliarios,Constructoras,,,,,,,,,,
272555,"IDOM CONSULTING ENGINEERING ARCHITECTURE, S.A.",A48283964,"Avda. Zarandoa, 23",0209,Bilbao,,Bizkaia,España,48015,944479600,,944761804,www.idom.es,afr@bilbao.idom.es,7112,Ingeniería.,Proyectos inmobiliarios,Ingeniería / construcción,Project management,,,,,253.49,3.66,,2314,24.996
273008,FERROVIAL - GRUPO,A28606556,"Príncipe de Vergara, 135",0796,Madrid,,Madrid,España,28002,915862500,,915862677,www.ferrovial.com,comunicacion@ferrovial.com,4122,"Contrucción, promoción inmobiliaria, infraestructuras y servicios.",Proyectos inmobiliarios,Construcción obra civil,,,,,,6053.91,,,18324,147.691
273932,"PESA MEDIOAMBIENTE, S.A.",A58465774,"Avda. Generalitat, 216 - P. Empresarial Can Sant Joan - Planta 2",2055,Sant Cugat del Vallès,,Barcelona,España,08174,932234979,,932235091,www.pesa-ma.com,,4221,Construcción de obras hidráulicas y tratamiento de aguas.,Proyectos inmobiliarios,Construcción obra civil,,,,,,7.18,0.04,,32,1.72
276090,"NAVES Y PARQUES INDUSTRIALES, S.A. (NAPISA)",A80152473,"Alcalde Ángel Arroyo, 4-6",0650,Getafe,,Madrid,España,28904,915060361,,915060362,www.napisa.com,napisa@napisa.com,4122,"Construcción de naves industriales, centros comerciales y oficinas.",Proyectos inmobiliarios,Construcción especial,,,,,,12.89,,,35,0.188
279391,"INMOGOLF, S.L.",B30610604,LA MANGA CLUB,0161,Cartagena,Belones (Los),Murcia,España,30385,968175000,,968564502,www.lamangaclub.es,info@lamangaclub.com,4110,Explotación de complejo hotelero y deportivo.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,,,,,
286765,INSTITUCIÓN FERIAL DE CASTILLA Y LEÓN (FERIA DE VALLADOLID),V47016985,"Avda. Ramón Pradera, s/n",1868,Valladolid,,Valladolid,España,47009,983429210,,983355935,www.feriavalladolid.com,feriavalladolid@feriavalladolid.com,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,3.1,,,20,
289564,"FULSAN, S.A.",A30022214,"MARRUECOS, 2",0367,San Pedro del Pinatar,,Murcia,España,30740,968174229,,968174449,www.fulsan.com,fulsansa@fulsan.com,4122,Construcción civil y explotación de cantera.,Proyectos inmobiliarios,Constructoras,,,,,,,,,,
289591,"ISLA CANELA, S.A.",A78079852,"Gta. Cuatro Caminos, 6-7 - 4ª planta",0796,Madrid,,Madrid,España,28020,915140300,,915353524,www.islacanela.es,pryconsa@pryconsa.es,4110,Promoción inmobiliaria y explotación de hoteles.,Proyectos inmobiliarios,Gestora / explotadora hotelera,Promotoras inmobiliarias,,,,,20.4,0.34,,78,3.756
291341,"CONSTRUCCIONES HISPANO GERMANAS, S.A. (CHG)",A03032182,"C.C. Oliva Nova, edificio CHG",1810,Oliva,,Valencia/València,España,46700,966426050,,962857826,www.chg.es,,6832,Promoción inmobiliaria.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,29.76,0.13,,48,2.908
292444,"EXPINMOBEL, S.A.",A78643186,Baltasar Gracian Nº7 1º,1945,Segovia,,Segovia,España,40001,921462798,,921462798,,,6820,Promoción inmobiliaria.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,7.47,0.05,,14,0.288
294254,PABELLÓN DE FERIAS Y CONGRESOS DE CIUDAD REAL,,"CAMINO VIEJO DE ALARCOS, 30",0343,Ciudad Real,,Ciudad Real,España,13005,,,926217003,www.pabellonferial.dipucr.es,pip@dipucr.es,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,,,,,
295540,"INMOBILIARIA GUADALMEDINA, S.A. (IGSA)",A29005782,"Doctor Romagosa, 1",2508,València,,Valencia/València,España,46002,963532002,,963532499,www.grupoigsa.es,,4110,Promoción y gestión inmobiliaria.,Proyectos inmobiliarios,Services y patrimoniales inmobiliarias,,,,,,37.06,0.31,,108,2
295807,"NEINVER, S.A. - GRUPO",A31038136,"Avda. Pío XII, 44 - 2ª Plta. - Edificio Oficinas",0796,Madrid,,Madrid,España,28016,914902200,,914902301,www.neinver.com,,6832,"Promoción de parques empresariales, centros comerciales y de ocio.",Proyectos inmobiliarios,Services y patrimoniales inmobiliarias,Promoción de centros comerciales,,,,,108,,,286,22.24
